"lat","long","area","plant","bird","mammal","herptile","hrs","logpl","logarea","logherp","logbird","logmam","cpfor2","thtden","swamp","totsp","logtot","cherp","c2for","c2htdens","tswamp"
45.4,75.92,199,176,46,NA,NA,NA,2.24510811768917,2.29843891651085,NA,1.66245827029487,NA,3.5,5.93,59.6,NA,NA,NA,NA,NA,0.688798334688899
45.06,75.85,1099,167,54,9,10,NA,2.2223160279708,3.04044982822563,0.999819840640055,1.73208165287203,0.954070593719592,53.2575757575758,3.69,89.4,240,2.37978242437776,0.0627,0.0746,0.0783,0.33162129115764
45.35,75.17,257.2,194,30,6,7,NA,2.28738956103488,2.40983673137797,0.844945787692277,1.47685513749985,0.778011059152434,90.0848708487085,0.249,88.9,237,2.37432051286806,0.06382,-0.02459,-0.06267,0.118599433346594
45.21,75.58,1641.7,138,26,7,5,NA,2.13949356715467,3.2147145329138,0.698844078347417,1.41471842727811,0.844945787692277,13.2100703844071,4.7,97.1,176,2.24510811768917,-0.28138,-0.1604,-0.22407,0.171127881106763
45.05,75.92,547,135,50,8,9,NA,2.1299499689268,2.73749405228918,0.954070593719592,1.69866391898747,0.902927286877914,58.066,2.44,87.6,202,2.30493603881946,0.09189,0.0907,0.05588,0.225513405898131
45.27,75.97,54.6,72,9,4,2,8,1.85699788059751,1.73687967119013,0.300975762292638,0.954070593719592,0.601951524585276,67.5280898876404,7.51,100,87,1.93916983007147,-0.31369,-0.34066,-0.14034,0
45.46,75.47,13.8,63,26,2,3,2,1.79901638141187,1.13967372651462,0.477035296859796,1.41471842727811,0.300975762292638,8.67549668874172,6.8,38.7,94,1.9727723761485,0.01009,0.14343,0.15412,0.674490928149051
45.12,75.05,102,108,30,5,2,NA,2.03305741516466,2.00823830364059,0.300975762292638,1.47685513749985,0.698844078347417,66.3333333333333,5.81,100,145,2.16097861155909,-0.38082,-0.40453,-0.27767,0
45.22,75.89,21,87,17,4,0,2,1.93916983007147,1.32198108455207,NA,1.23022724448815,0.601951524585276,22.9279279279279,6.75,100,NA,NA,NA,NA,NA,0
45.38,76.07,712.2,209,112,22,11,75,2.31972829004117,2.85208804639326,1.04120506851862,2.04884883686283,1.34218083081125,84.2654028436019,0.92,52,354,2.5485440352296,0.15068,0.07812,0.0519,0.765392826220454
45.47,75.12,71,92,38,10,3,NA,1.96343403258751,1.85092482719988,0.477035296859796,1.57949898381519,0.999819840640055,54.0449826989619,0,16.8,143,2.15494773350408,-0.16584,-0.15608,-0.30261,1.14847598638454
45.24,76.09,13.5,66,8,5,2,NA,1.81921612767105,1.13013012828675,0.300975762292638,0.902927286877914,0.698844078347417,55.2474226804124,3.72,87,81,1.90814118743918,-0.16361,-0.15713,-0.14677,0.368862984226625
44.75,76.08,310,89,38,5,6,NA,1.94903880578903,2.49091285170612,0.778011059152434,1.57949898381519,0.698844078347417,44.8961240310078,2.53,90,138,2.13949356715467,-0.02317,0.01151,-0.05547,0.321750554396642
44.75,76.14,138,120,40,7,6,NA,2.07880666208513,2.13949356715467,0.778011059152434,1.60177136522533,0.844945787692277,53.4212218649518,6.22,87,173,2.23764289817533,0.06375,0.07521,0.18383,0.368862984226625
45.23,74.67,131,189,42,4,5,NA,2.27605167827166,2.11688984941431,0.698844078347417,1.62295684684471,0.601951524585276,61.1818181818182,0,92,240,2.37978242437776,-0.00982,-0.0195,-0.14659,0
45.33,74.69,184.9,199,41,6,8,NA,2.29843891651085,2.26652850125622,0.902927286877914,1.61249329861238,0.778011059152434,45.4110429447853,0.37,87.4,254,2.40440046331678,0.15725,0.19053,0.03576,0.362876401176621
45.35,74.72,421,190,38,4,8,NA,2.27834306216261,2.62380930685297,0.902927286877914,1.57949898381519,0.601951524585276,64.1436227224009,0.39,85.5,240,2.37978242437776,0.06887,0.05112,-0.0518,0.390649058724362
45.43,75.23,261.5,206,48,5,5,NA,2.31345035553173,2.41703616305036,0.698844078347417,1.68093834603035,0.698844078347417,89.51,2.48,85.9,264,2.42116765225633,-0.08407,-0.17091,-0.11843,0.384935834090849
45.76,74.97,1484,248,45,7,8,NA,2.39402029794398,3.17086253744131,0.902927286877914,1.65291467206701,0.844945787692277,35,3.03,80.1,308,2.48810238079617,-0.06645,-0.00482,-0.0781,0.462396433615776
45.45,76.27,51.9,189,64,9,12,NA,2.27605167827166,1.71485835439507,1.07898682144507,1.80585457375583,0.954070593719592,97.3696682464455,0,63.6,274,2.43731137923928,0.46977,0.36152,0.333,0.647662772037123
44.74,76.04,363.3,189,49,7,11,NA,2.27605167827166,2.55980414208735,1.04120506851862,1.68989157538455,0.844945787692277,66.675,2.43,73.3,256,2.4078060983411,0.22298,0.19834,0.18655,0.543015916546275
44.72,76.17,650.3,134,69,9,10,NA,2.1267215805258,2.81260694523452,0.999819840640055,1.83851780486203,0.954070593719592,86.4330900243309,3.77,45,222,2.34593025700056,0.11906,0.0406,0.13797,0.835481873978228
44.42,75.95,110,74,27,7,4,NA,1.86889496014076,2.04102490915867,0.601951524585276,1.43110589057939,0.844945787692277,45.8339100346021,6.38,33,112,2.04884883686283,-0.08795,-0.05583,0.03874,0.855628870752376
