yr,age,reproduction,mass_jun,mass_sept,sex_lamb,mass_gain,density,temp,precipitation
91,9,1,61.39,76.35,0,14.96,97,11.77,316.6
91,4,0,52.03,65.97,0,13.94,97,11.77,316.6
90,5,0,47.73,62.79,0,15.06,83,11.9,345.2
91,5,1,49.64,63.12,0,13.48,97,11.77,316.6
91,11,0,61.15,73.14,0,11.99,97,11.77,316.6
108,4,0,51.55,68.83,0,17.28,22,NA,NA
90,5,0,42.13,57.19,0,15.06,83,11.9,345.2
100,13,1,48.94,66.44,0,17.50,37,11.6,242.2
92,10,1,60.45,73.89,0,13.44,103,11.23,183.7
91,2,1,36.07,51.18,0,15.11,97,11.77,316.6
75,2,0,39.94,56.51,0,16.57,33,11.2,138.4
93,5,0,51.69,64.17,0,12.48,97,10.65,219.1
91,7,0,55.79,70.54,0,14.75,97,11.77,316.6
100,12,1,49.72,71.04,0,21.33,37,11.6,242.2
91,7,1,55.84,74.14,0,18.30,97,11.77,316.6
88,4,1,56.81,63.06,0,6.25,65,11.93,245.7
97,9,1,57.21,72.47,0,15.26,75,12.07,230.6
91,13,0,60.20,77.26,0,17.05,97,11.77,316.6
90,8,0,57.14,72.20,0,15.06,83,11.9,345.2
89,9,1,52.76,66.11,0,13.34,72,12.05,260.1
106,8,1,57.64,69.86,0,12.22,17,NA,NA
94,7,1,62.98,76.63,0,13.64,90,11.67,264.7
90,6,1,55.21,70.27,0,15.06,83,11.9,345.2
89,12,0,54.71,70.73,0,16.02,72,12.05,260.1
89,7,0,52.38,69.57,0,17.18,72,12.05,260.1
89,14,1,66.58,85.40,0,18.83,72,12.05,260.1
88,6,0,58.85,68.15,0,9.30,65,11.93,245.7
90,7,1,49.98,65.05,0,15.06,83,11.9,345.2
90,11,0,56.33,71.39,0,15.06,83,11.9,345.2
95,11,1,59.12,76.39,0,17.27,79,10.77,463.1
89,9,1,57.84,72.44,0,14.60,72,12.05,260.1
89,6,1,51.72,68.11,0,16.39,72,12.05,260.1
90,6,0,54.29,69.35,0,15.06,83,11.9,345.2
90,10,0,54.46,69.52,0,15.06,83,11.9,345.2
90,12,0,59.72,74.78,0,15.06,83,11.9,345.2
90,9,1,47.84,62.91,0,15.06,83,11.9,345.2
93,5,0,55.57,66.62,0,11.05,97,10.65,219.1
92,6,1,62.34,75.36,0,13.02,103,11.23,183.7
99,10,0,61.90,71.58,0,9.68,45,11.03,349.7
93,5,1,54.33,66.52,0,12.19,97,10.65,219.1
93,5,0,56.33,67.55,0,11.22,97,10.65,219.1
86,8,1,56.70,78.06,0,21.37,58,12.1,410.4
92,8,0,60.13,73.22,0,13.09,103,11.23,183.7
91,10,NA,63.29,75.15,0,11.86,97,11.77,316.6
88,10,1,57.36,68.86,0,11.50,65,11.93,245.7
83,5,1,58.80,73.39,0,14.59,38,10.75,238.9
93,5,0,53.16,65.33,0,12.17,97,10.65,219.1
95,13,1,58.70,77.07,0,18.37,79,10.77,463.1
93,10,0,63.01,73.45,0,10.44,97,10.65,219.1
88,7,1,59.23,69.93,0,10.71,65,11.93,245.7
93,9,0,62.52,74.05,0,11.53,97,10.65,219.1
93,4,0,54.32,64.07,0,9.75,97,10.65,219.1
93,7,0,59.64,70.84,0,11.20,97,10.65,219.1
93,8,0,57.31,69.47,0,12.16,97,10.65,219.1
91,10,1,69.18,78.87,0,9.68,97,11.77,316.6
89,9,1,45.32,61.37,0,16.04,72,12.05,260.1
85,10,1,69.37,84.83,0,15.46,51,11.07,322.9
91,13,1,50.30,64.31,0,14.01,97,11.77,316.6
91,16,1,65.18,74.69,0,9.51,97,11.77,316.6
91,8,0,59.38,77.74,0,18.36,97,11.77,316.6
91,5,0,60.59,75.56,0,14.97,97,11.77,316.6
91,14,0,65.11,70.24,0,5.13,97,11.77,316.6
91,3,1,40.72,59.15,0,18.42,97,11.77,316.6
89,11,1,56.90,74.15,0,17.25,72,12.05,260.1
78,3,1,55.65,71.51,0,15.87,33,12.07,308.8
92,10,0,65.68,78.10,0,12.41,103,11.23,183.7
92,5,1,58.00,70.41,0,12.41,103,11.23,183.7
91,5,1,48.55,64.72,0,16.17,97,11.77,316.6
92,8,0,60.06,72.61,0,12.55,103,11.23,183.7
97,6,0,57.89,71.30,0,13.41,75,12.07,230.6
92,8,0,57.97,71.23,0,13.26,103,11.23,183.7
92,14,1,53.62,68.04,0,14.42,103,11.23,183.7
105,6,0,55.32,72.01,0,16.69,19,10.8,419.2
86,4,1,63.66,72.79,0,9.13,58,12.1,410.4
86,5,1,62.79,72.43,0,9.65,58,12.1,410.4
86,13,0,59.55,73.80,0,14.24,58,12.1,410.4
86,6,1,55.55,67.30,0,11.75,58,12.1,410.4
85,7,1,65.68,73.39,0,7.71,51,11.07,322.9
82,2,1,40.78,57.71,0,16.94,36,11.07,413
85,6,1,56.66,68.41,0,11.76,51,11.07,322.9
85,5,1,51.32,67.56,0,16.25,51,11.07,322.9
87,7,1,60.24,73.20,0,12.96,61,11.67,283.9
107,3,1,51.81,64.11,0,12.30,16,NA,NA
92,6,0,58.62,68.87,0,10.26,103,11.23,183.7
87,9,1,61.30,74.26,0,12.96,61,11.67,283.9
