"distance","cs","v","z","a","bhydae","bsim"
10,0.039994475,78.73,9.733,135.8313447,44.56562484,114.8153621
149.9684836,0.039994475,26.2,18.7,130.3166778,35.97493352,5.600154388
1000,0.029991625,104.5,33.47,126.7651866,46.45152752,17.02158508
10,0.150003019,77.93,14.47,124.4514612,206.0629913,3810.658234
69.9841996,0.139990963,30.93,33.8,112.2018454,49.7737085,29.10717118
1000,0.019998619,87.1,32.4,122.4616199,53.95106225,7.584029262
100,0.139990963,78.33,15.27,93.97233106,35.97493352,279.898132
119.9499303,0.139990963,30.43,23,79.25013305,77.98301105,136.7728826
2999.162519,0.019998619,105,36.4,116.6809617,43.2513831,5.692460163
2999.162519,0.019998619,97.9,22,138.3566379,37.58374043,7.992819399
3097.419299,0.019998619,49,25,64.86344335,35.97493352,5.774308727
14.99684836,0.159992638,126.4,39.36,201.372425,172.9816359,33.34264128
34.9945167,0.159992638,56.13,31.47,151.7050367,100,57.94286964
5.00034535,0.129987024,70.93,38.6,159.5879147,567.5446054,179.4733627
44.97798549,0.129987024,38.8,48.8,138.9952631,50.23425895,11.27197456
500.034535,0.039994475,73.8,17.2,111.9437883,97.94899854,6.450598333
529.6634439,0.039994475,52.33,39,104.2317429,61.94410751,5.807644175
19.9986187,0.229985259,24,51,101.6248693,35.97493352,5.600154388
69.9841996,0.1900203,73.93,15.47,111.6863248,812.8305162,3243.396173
19.9986187,1.139987266,97.87,31.33,112.9795915,102.0939484,3349.654392
29.99162519,1.139987266,81.27,39.4,92.68298234,90.15711376,3515.604405
1199.499303,0.83004187,120.6,36.57,161.8080038,135.8313447,135.8313447
100,0.479954425,71.6,22.6,120.503594,40.17908108,1009.252886
149.9684836,0.519995997,69.13,13.47,120.7813835,44.87453899,375.8374043
169.8243652,0.519995997,48.13,18.07,62.08690342,102.5651926,80.53784412
44.97798549,0.139990963,124.5,35.4,107.1519305,959.4006315,3111.716337
59.97910763,0.1,34.33,54.44,84.52788452,223.3572223,82.03515443
1798.870915,0.129987024,118.2,22.06,107.1519305,51.64163693,7.530087105
25.00345362,0.059979108,54.93,33,127.6438809,73.11390835,22.96148648
34.9945167,0.059979108,82.33,14.6,116.1448614,209.8939884,3647.539469
29.99162519,0.079983426,50.6,33.2,123.8796587,534.5643594,25.88212915
250.0345362,0.079983426,42.43,20.86,101.6248693,53.08844442,28.84031503
260.0159563,0.079983426,79.15,15.38,144.5439771,246.6039337,135.8313447
269.7739432,0.079983426,54.4,18.07,160.6941253,58.47900841,60.95368972
