"number","room"
43,"dark"
42,"dark"
41,"dark"
40,"dark"
38,"dark"
35,"dark"
34,"dark"
34,"dark"
34,"dark"
33,"dark"
31,"dark"
31,"dark"
31,"dark"
31,"dark"
30,"dark"
29,"dark"
28,"dark"
27,"dark"
27,"dark"
26,"dark"
25,"dark"
25,"dark"
24,"dark"
23,"dark"
23,"dark"
22,"dark"
22,"dark"
20,"dark"
20,"dark"
15,"dark"
46,"pale"
45,"pale"
44,"pale"
40,"pale"
37,"pale"
37,"pale"
37,"pale"
37,"pale"
36,"pale"
36,"pale"
35,"pale"
34,"pale"
34,"pale"
33,"pale"
33,"pale"
33,"pale"
32,"pale"
31,"pale"
30,"pale"
30,"pale"
29,"pale"
29,"pale"
28,"pale"
27,"pale"
26,"pale"
24,"pale"
24,"pale"
23,"pale"
20,"pale"
18,"pale"
