"ratio","souche","milieu","labo"
0.006322077,"SMR","IN VITRO","1"
0.002810385,"SMR","IN VITRO","2"
0.000110589,"SMR","IN VITRO","3"
0.00753295,"SMR","IN VITRO","4"
2.44064345,"SMR","IN VITRO","5"
0.008112511,"SMR","IN VITRO","6"
0.001674031,"SMR","IN VITRO","7"
0.019585285,"SMR","IN VITRO","8"
0.001371161,"SMR","IN VITRO","9"
0.046652429,"SMR","IN VITRO","10"
0.65821606,"SAUVAGE","IN VITRO","1"
8.551829714,"SAUVAGE","IN VITRO","2"
0.201932459,"SAUVAGE","IN VITRO","3"
4.937347194,"SAUVAGE","IN VITRO","4"
0.384812023,"SAUVAGE","IN VITRO","5"
4.279806309,"SAUVAGE","IN VITRO","6"
0.698596715,"SAUVAGE","IN VITRO","7"
0.365966897,"SAUVAGE","IN VITRO","8"
0.93469604,"SAUVAGE","IN VITRO","9"
3.526221781,"SAUVAGE","IN VITRO","10"
0.028643236,"FSR","IN VITRO","1"
3.159974889,"FSR","IN VITRO","2"
0.046217803,"FSR","IN VITRO","3"
0.252082092,"FSR","IN VITRO","4"
1.39558442,"FSR","IN VITRO","5"
0.88226109,"FSR","IN VITRO","6"
1.308700351,"FSR","IN VITRO","7"
0.173984874,"FSR","IN VITRO","8"
0.237359595,"FSR","IN VITRO","9"
65.89599286,"FSR","IN VITRO","10"
0.138309576,"SMR","IN VIVO","1"
0.023989772,"SMR","IN VIVO","2"
0.101300092,"SMR","IN VIVO","3"
0.541411481,"SMR","IN VIVO","4"
1.09056529,"SMR","IN VIVO","5"
0.053763745,"SMR","IN VIVO","6"
0.076215631,"SMR","IN VIVO","7"
0.009109375,"SMR","IN VIVO","8"
0.078125858,"SMR","IN VIVO","9"
0.528539871,"SMR","IN VIVO","10"
0.328093194,"SAUVAGE","IN VIVO","1"
0.120589084,"SAUVAGE","IN VIVO","2"
0.379647201,"SAUVAGE","IN VIVO","3"
1.054185207,"SAUVAGE","IN VIVO","4"
0.500009245,"SAUVAGE","IN VIVO","5"
0.025115125,"SAUVAGE","IN VIVO","6"
1.698748809,"SAUVAGE","IN VIVO","7"
0.07268593,"SAUVAGE","IN VIVO","8"
0.441582308,"SAUVAGE","IN VIVO","9"
4.799506028,"SAUVAGE","IN VIVO","10"
1.634633734,"FSR","IN VIVO","1"
0.41347389,"FSR","IN VIVO","2"
1.180624623,"FSR","IN VIVO","3"
32.5111571,"FSR","IN VIVO","4"
37.53265832,"FSR","IN VIVO","5"
2.448004555,"FSR","IN VIVO","6"
0.474462509,"FSR","IN VIVO","7"
3.579155413,"FSR","IN VIVO","8"
23.51875508,"FSR","IN VIVO","9"
3.261278101,"FSR","IN VIVO","10"
